id,domain,priority,source,status,files,symbols,views,test,command,runtimeEvidence,bundleEvidence,visualEvidence,limitation,userImpact,risk,neededFix,recommendedVersion
DIST-001,DIST,MUST,test-release-manifest.sh acceptance criterion,COMPLIANT_VERIFIED,"['Release/latest.json', 'Release/SHA256SUMS', 'Scripts/build-release.sh', 'Scripts/test-release-manifest.sh']",[],[],Scripts/test-release-manifest.sh full run.,bash Scripts/build-release.sh && bash Scripts/test-release-manifest.sh,"fresh build-release.sh + test-release-manifest.sh run this session: ALL CHECKS PASSED (after the SEC-003 doc fix above; before that fix the run showed 1 FAIL on the Gatekeeper check, and an earlier run before a second rebuild showed a transient dmgSize mismatch from DMG non-reproducibility, both explained and resolved by the documented resync behavior).",Release/SHA256SUMS and Release/latest.json both re-synced and verified this session,n/a,"DMG output is not byte-reproducible run to run by design (documented); manifest resync after build is the mitigation, confirmed working.",none,low,none,n/a
DIST-002,DIST,MUST,test-release-manifest.sh acceptance criterion,COMPLIANT_VERIFIED,"['Release/latest.json', 'Documentation/INSTALL_UNSIGNED.md']",[],[],Scripts/test-release-manifest.sh 'unsigned/non-notarized declared consistently' check.,bash Scripts/test-release-manifest.sh,"latest.json signed:false, notarized:false, freshly rebuilt and re-verified this session",Release/latest.json,n/a,none found,none,low,none,n/a
DIST-003,DIST,SHOULD,"derived, no prior explicit doc",COMPLIANT_PARTIAL,"['Release/latest.json', 'Scripts/build-release.sh']",[],[],"none — manual field, no automated check that sourceCommit == git rev-parse HEAD at build time.",grep sourceCommit Release/latest.json; git rev-parse HEAD,"latest.json sourceCommit currently reflects a commit prior to this session's own commits (expected — it's stamped at the moment build-release.sh runs, and this session ran it before session-2 doc commits landed).",Release/latest.json,n/a,"build-release.sh still has no automated `git rev-parse HEAD` stamping — same gap noted in session 1, not fixed this session either (out of this session's scope, a real feat(release) change).",low — a human could ship a release with a stale sourceCommit if they forget the manual step,"medium (process risk, not a code defect)",add `git rev-parse HEAD` auto-stamp to build-release.sh,"0.8.0 (small feat, deferred per session scope: no version bumps this session)"
MAC-001,MAC,MUST,COMPATIBILITY.md,COMPLIANT_VERIFIED,['Release/latest.json'],[],[],none — manifest field + build.sh only ever targets arm64 on this hardware.,grep architecture Release/latest.json,"latest.json architecture:arm64, freshly rebuilt this session","Release/latest.json, Scripts/test-distribution.sh 'binary is arm64' check PASSED",n/a,no Intel Mac available to confirm exclusion is enforced rather than just undocumented for x86_64; single-machine build environment (MAC-003),none,low,none,n/a
MAC-002,MAC,MUST,MACOS_VERSION_POLICY.md,COMPLIANT_VERIFIED,"['Package.swift', 'Documentation/API_AVAILABILITY_AUDIT.md']","['@Observable usages (16, per API_AVAILABILITY_AUDIT.md)']",[],none dedicated; Package.swift platform floor read directly.,"grep -n ""macOS"" Package.swift",n/a (build-only check),n/a,n/a,not independently re-counted the 16 @Observable usages this session — trusted from API_AVAILABILITY_AUDIT.md.,none,low,none,n/a
MAC-003,MAC,n/a (disclosed limitation),Release/latest.json knownLimitations,COMPLIANT_VERIFIED,['Release/latest.json'],[],[],"n/a — this is a disclosure requirement, not a functional one.",grep -A2 knownLimitations Release/latest.json,disclosure present in freshly rebuilt manifest,Release/latest.json,n/a,"by definition, unresolved — this is the honest disclosure of the limitation itself",real: unverified on other Mac hardware/macOS versions,medium,multi-Mac manual test pass (see MANUAL_ACCEPTANCE_TEST_PLAN.md),n/a
LEGAL-001,LEGAL,MUST,LICENSE,COMPLIANT_VERIFIED,"['LICENSE', 'LICENSES/Apache-2.0.txt', 'Package.swift']",[],[],Scripts/check-licenses.sh — PASSED this session.,bash Scripts/check-licenses.sh,n/a,"LICENSES/Apache-2.0.txt present, 0 external SwiftPM deps confirmed",n/a,none found,none,low,none,n/a
LEGAL-002,LEGAL,MUST,LICENSE,COMPLIANT_VERIFIED,"['LICENSE', 'LICENSES/CC-BY-4.0.txt']",[],[],Scripts/check-licenses.sh — PASSED.,bash Scripts/check-licenses.sh,n/a,LICENSES/CC-BY-4.0.txt present,n/a,none found,none,low,none,n/a
LEGAL-003,LEGAL,MUST,LICENSE,COMPLIANT_VERIFIED,"['LICENSE', 'TRADEMARKS.md']",[],[],none dedicated; file existence check.,test -f TRADEMARKS.md && echo present,n/a,TRADEMARKS.md present,n/a,none found,none,low,none,n/a
LEGAL-004,LEGAL,MUST,derived from LICENSE cross-references,COMPLIANT_VERIFIED,"['LICENSE', 'Documentation/LEGAL_AND_LICENSE_STATUS.md', 'Documentation/THIRD_PARTY.md']",[],[],"none dedicated; re-read LICENSE this session, both referenced paths exist.",grep -n 'Documentation/' LICENSE; ls Documentation/LEGAL_AND_LICENSE_STATUS.md Documentation/THIRD_PARTY.md,n/a,both files exist on disk,n/a,"fixed in a prior commit (964f110), re-confirmed not re-broken this session",none,low,none,n/a
OSS-001,OSS,SHOULD,DEPENDENCIES.md,COMPLIANT_VERIFIED,['Package.swift'],[],[],Scripts/check-licenses.sh 'Package.swift has no external dependencies' check — PASSED.,grep -c '.package(' Package.swift,n/a,"0 .package(...) entries, confirmed fresh this session",n/a,none found,none,low,none,n/a
OSS-002,OSS,MUST,CLAMAV.md / PROTECTION_LIMITATIONS.md,COMPLIANT_VERIFIED,['Sources/MalwareEngine/MalwareEngine.swift'],['ClamAVScanner'],[],"none dedicated; verified by code read — ClamAVScanner shells out to a probed clamscan binary path, no libclamav linkage, no bundled binaries/signatures anywhere in Sources/ or Resources/.",grep -rn 'libclamav\|clamav' Package.swift Sources/,n/a,"no ClamAV binaries in Release/ artifacts (Scripts/test-distribution.sh confirms only app bundle contents, no third-party binaries)",n/a,none found,none,low,none,n/a
TEST-001,TEST,MUST,DECISIONS.md D2 + session instructions,COMPLIANT_VERIFIED,['Scripts/test.sh'],[],[],n/a — this requirement IS the test entry point itself.,bash Scripts/test.sh,"86 tests, 27 suites, all passed, freshly re-run this session",n/a,n/a,none found,none,low,none,n/a
ARCH-001,ARCH,MUST,DECISIONS.md D1,COMPLIANT_VERIFIED,['Package.swift'],[],[],none dedicated; file-existence/absence check.,find . -maxdepth 1 -name '*.xcodeproj',n/a,"no .xcodeproj found, Package.swift is the only build definition",n/a,none found,none,low,none,n/a
ARCH-002,ARCH,MUST,"inferred, cross-checked in REQUIREMENTS_DECISION_HISTORY.md",COMPLIANT_VERIFIED,['Sources/'],[],[],none dedicated; grep re-run fresh this session.,grep -rl WKWebView Sources/,n/a,"zero matches, zero Package.swift dependencies",n/a,none found,none,low,none,n/a
PRIV-001,PRIV,MUST,PRIVACY_AUDIT_CURRENT.md,COMPLIANT_VERIFIED,['Sources/'],[],[],"none dedicated; re-run fresh this session (baseline flagged this as needing independent re-verification, not just trusting session 2's grep).",grep -rln 'URLSession\|Socket(\|CFSocket\|NWConnection' Sources/,n/a,"zero matches across all of Sources/, confirmed fresh this session",n/a,"grep-based; does not rule out network access via a lower-level syscall wrapper not matching these symbol names (exhaustive network audit would need a network-monitor capture during a real run, not available headless)",none currently found,low,a runtime network-monitor capture during manual QA (see MANUAL_ACCEPTANCE_TEST_PLAN.md) for full confidence,n/a
PRIV-002,PRIV,MUST,Release/latest.json,COMPLIANT_VERIFIED,['Release/latest.json'],[],[],none dedicated; manifest field cross-checked against PRIV-001's code-level grep.,grep -n 'telemetry\|accountRequired' Release/latest.json,"telemetry:false, accountRequired:false, freshly rebuilt this session",Release/latest.json,n/a,none found,none,low,none,n/a
PRIV-003,PRIV,MUST,CONTINUATION.md public-distribution punch list,COMPLIANT_VERIFIED,"['Sources/MacCareApp/DiagnosticReport.swift', 'Tests/MacCareAppTests/DiagnosticReportTests.swift']",['DiagnosticReport'],['SettingsView.swift (Data section)'],"DiagnosticReportTests — redaction test read this session (confirms username/paths are stripped from the exported report body, not just asserted by name); PASSED in this session's Scripts/test.sh run.",bash Scripts/test.sh,"n/a (unit test, not a live export)",n/a,NOT CAPTURED — mandatory preview sheet UI not screenshotted this session (headless); see MANUAL_ACCEPTANCE_TEST_PLAN.md,"preview-sheet UI gating (opt-in, shown before save) verified by reading SettingsView.swift wiring, not by a live interaction",none found,low,manual UI walkthrough of the preview-before-save flow,n/a
PROD-001,PROD,MUST,README.md:15-16,COMPLIANT_VERIFIED,README.md; TRADEMARKS.md,,,none (doc-level requirement),"grep -n ""affiliated\|endorsed"" README.md",n/a,n/a,n/a,No CI check prevents someone re-adding an affiliation claim later.,none — held,low,none,n/a
PROD-002,PROD,MUST,README.md:9-11,COMPLIANT_VERIFIED,README.md; Release/latest.json; Documentation/INSTALL_UNSIGNED.md,,,Scripts/test-release-manifest.sh checks signed:false/notarized:false consistency,cat Release/latest.json | grep signed,n/a,Release/latest.json,n/a,none found,none,low,none,n/a
PROD-003,PROD,SHOULD,REQUIREMENTS_DECISION_HISTORY.md,COMPLIANT_VERIFIED,README.md; Documentation/CONTINUATION.md,,,none,"grep -in ""school\|portfolio\|demo\|assignment"" README.md Documentation/CONTINUATION.md",n/a,n/a,n/a,"Subjective framing check, not a hard grep-pass/fail.",none,low,none,n/a
PROD-004,PROD,SHOULD,README.md,COMPLIANT_PARTIAL,Documentation/FEATURE_INVENTORY.md,,,none,n/a,n/a,n/a,BLOCKED_ENVIRONMENT — no display this session,UI wording not visually re-confirmed this session.,none known,low,visual re-check in a session with display access,n/a
FUNC-001,FUNC,MUST,README.md; FEATURE_INVENTORY.md smartcare.orchestration,COMPLIANT_VERIFIED,Sources/MacCareApp/SmartCareView.swift; Sources/MacCareApp/CleanupView.swift,SmartCareView; UserCleanupRules.all; ScanEngine; SafetyCenter,SmartCareView,none dedicated; verified by direct code read this session,grep -n 'UserCleanupRules.all\|ScanEngine\|SafetyCenter' Sources/MacCareApp/SmartCareView.swift,n/a,n/a,n/a,none found,none,low,none,n/a
FUNC-002,FUNC,MUST,README.md; Sources/FileRules/UserCleanupRules.swift,COMPLIANT_VERIFIED,Sources/FileRules/UserCleanupRules.swift; Sources/SafetyCore/SafetyCore.swift,UserCleanupRules.all; SafetyCenter.execute,CleanupView; SmartCareView,UserCleanupRulesTests.noRuleTargetsUserContent (passing),grep -n 'CleanupRule(' Sources/FileRules/UserCleanupRules.swift,n/a,n/a,n/a,"Only 7 rules total — small surface, no requirement claims broader coverage.",none,low,none,n/a
FUNC-003,FUNC,MUST,README.md; CLAMAV.md,COMPLIANT_PARTIAL,Sources/MalwareEngine/MalwareEngine.swift,ClamAVScanner.isAvailable; Quarantine.restore/delete,ProtectionView,Quarantine tests (4/4 passing); no test exercises real Process() clamscan invocation,grep -n 'isAvailable\|Process(' Sources/MalwareEngine/MalwareEngine.swift,BLOCKED_ENVIRONMENT — no clamscan installed on this machine,n/a,n/a,Live-binary invocation path unverifiable without ClamAV installed.,scan quality unverifiable end-to-end,medium,install ClamAV in a future session and run a live scan test,n/a
FUNC-004,FUNC,MUST,README.md; FEATURE_INVENTORY.md perf.metrics,COMPLIANT_VERIFIED,Sources/SystemMetrics/SystemMetrics.swift,MetricsCollector,PerformanceView,"1 test only (thin coverage, carried gap)","grep -n ""random\|simulate"" Sources/SystemMetrics/SystemMetrics.swift",n/a,n/a,n/a,"Thin test coverage (1 test) for this domain, carried from session 1/2.","low — data source is real, just undertested",low-medium,add tests exercising each metric source,n/a
FUNC-005,FUNC,MUST,README.md; AppUpdatesView.swift; ApplicationsView.swift,COMPLIANT_PARTIAL,Sources/MacCareApp/AppUpdatesView.swift; Sources/MacCareApp/ApplicationsView.swift,AppUpdateSource.detect(for:); AppUpdatesViewModel.open(_:),AppUpdatesView,none dedicated,grep -n Sparkle Sources/MacCareApp/*.swift,n/a,n/a,n/a,"Detects update mechanism, not update availability — README wording could be misread as the latter.","low — no functional gap, wording-precision gap",low,clarify README.md wording: 'mechanism detection' not 'availability checking',0.7.x (docs-only)
FUNC-006,FUNC,MUST,README.md; FEATURE_INVENTORY.md clutter.*,IMPLEMENTED_UNVERIFIED,Sources/MacCareApp/DuplicatesView.swift; SimilarImagesView.swift; MyClutterView.swift,DuplicateEngine; SimilarImagesEngine; ScanEngine,DuplicatesView; SimilarImagesView; MyClutterView,engine-level tests pass; view-internal logic untested,grep -n 'DuplicateEngine()\|SimilarImagesEngine()\|ScanEngine()' Sources/MacCareApp/*.swift,n/a,n/a,n/a,View-internal filter/sort/error-state logic not read line-by-line.,unknown,low-medium,full line-by-line view read in a future session,n/a
FUNC-007,FUNC,MUST,README.md; FEATURE_INVENTORY.md spacelens.view,IMPLEMENTED_UNVERIFIED,Sources/ScanCore/SpaceLensEngine.swift; Sources/MacCareApp/SpaceLensView.swift,SpaceLensEngine; TreemapLayout,SpaceLensView,engine tests pass; rendering code unread,grep -n SpaceLensEngine Sources/MacCareApp/SpaceLensView.swift,n/a,n/a,BLOCKED_ENVIRONMENT,"TreemapLayout rendering not read line-by-line, no visual confirmation possible.",unknown,low,line-by-line read + visual capture in a display-capable session,n/a
FUNC-008,FUNC,MUST,FEATURE_INVENTORY.md cloud.detect,COMPLIANT_PARTIAL,Sources/MacCareApp/CloudCleanupView.swift,CloudCleanupViewModel.detect/scan,CloudCleanupView,none dedicated,grep -n ubiquitousItemDownloadingStatusKey Sources/MacCareApp/CloudCleanupView.swift,n/a,n/a,n/a,Full view logic and complete provider list beyond iCloud not read line-by-line.,unknown,low,full read,n/a
FUNC-009,FUNC,MUST,README.md; FEATURE_INVENTORY.md activity.log,COMPLIANT_VERIFIED,Sources/Persistence/Store.swift; Sources/Persistence/Database.swift,Store.recordActivity; Store.activity(limit:kind:); Store.clearActivity(),MyActivityView,"passing (day-grouping suite, migrations idempotent)",read Sources/Persistence/Store.swift,n/a,n/a,n/a,none found,none,low,none,n/a
FUNC-010,FUNC,MUST,FEATURE_INVENTORY.md settings wiring table,COMPLIANT_VERIFIED,Sources/MacCareApp/SettingsView.swift,SettingsView,SettingsView,"none dedicated; verified session 2, unchanged file since (git log check)",git log --oneline -- Sources/MacCareApp/SettingsView.swift,n/a,n/a,n/a,"Not independently re-run this session (file unchanged since session 2's verification, low drift risk).",none,low,none,n/a
VIS-001,VIS,MUST,VISUAL_DIRECTION.md,IMPLEMENTED_UNVERIFIED,Sources/DesignSystem/CoreBloom.swift; HeroCore.swift,MCBloomGeometry,,DesignSystemTests (geometry-level),read Sources/DesignSystem/CoreBloom.swift,n/a,n/a,BLOCKED_ENVIRONMENT — no display this session,No live-render screenshot verification possible.,unknown,low,Scripts/capture.sh in a display-capable session,n/a
VIS-002,VIS,MUST,VISUAL_DIRECTION.md Anti-references,COMPLIANT_PARTIAL,Sources/MacCareApp; Sources/DesignSystem,,,none,"grep -rn ""broom\|rocket\|stethoscope\|shield"" Sources/MacCareApp Sources/DesignSystem",n/a,n/a,BLOCKED_ENVIRONMENT,"Grep-based symbol-name check only, not a rendered-pixel check; BRAND_SYSTEM.md not re-read line by line this session.",unknown,low,visual capture + BRAND_SYSTEM.md full re-read,n/a
VIS-003,VIS,SHOULD,DESIGN_TOKENS.md,NON_COMPLIANT,Sources/MacCareApp/SpaceLensView.swift; Sources/MacCareApp/OnboardingView.swift (+22 other .font(.system(size: sites),,SpaceLensView; OnboardingView,none,"grep -rn ""Color(red:\|\.font(\.system(size:"" Sources/MacCareApp Sources/DesignSystem",n/a,n/a,n/a,3 hardcoded Color(red:) values in SpaceLensView.swift:72-75 (category colors) and 25 raw .font(.system(size:) call sites bypass MCColor/MCFont tokens.,"low — design-system discipline gap, not a functional defect",low,migrate SpaceLensView category colors to MCColor.chartSeries; migrate raw .font(.system(size:) sites to MCFont,0.7.x or 0.8.0 (design-system cleanup)
MOTION-001,MOTION,MUST,MOTION_SYSTEM.md,IMPLEMENTED_UNVERIFIED,Sources/DesignSystem,MCMotion.animation(_:reduce:),,none dedicated for per-view compliance,"grep -rn ""accessibilityReduceMotion"" Sources/DesignSystem",n/a,n/a,BLOCKED_ENVIRONMENT,Single choke-point pattern confirmed to exist; not traced through every animated view.,unknown,low,per-view animation call-site audit,n/a
MOTION-002,MOTION,MUST,MOTION_SYSTEM.md,IMPLEMENTED_UNVERIFIED,Sources/DesignSystem,OrbitalProgressView,,none,n/a,n/a,n/a,BLOCKED_ENVIRONMENT,Documented design intent matches code structure; live idle-state verification needs a display.,unknown,low,live capture at idle vs scanning state,n/a
A11Y-001,A11Y,SHOULD,platform norm; WEBSITE_AUDIT.md analog,COMPLIANT_PARTIAL,Sources/MacCareApp; Sources/DesignSystem,,,none,"grep -rl ""accessibilityLabel\|accessibilityValue\|accessibilityHint"" Sources/MacCareApp Sources/DesignSystem",BLOCKED_ENVIRONMENT — no VoiceOver session possible,n/a,n/a,14 of 20 MacCareApp view files contain at least one accessibility call; 6 have none found. Presence in code != verified working.,"unknown, potentially real for the 6 files with no accessibility calls found",medium,identify the 6 files and add labels; then a real VoiceOver pass,n/a
A11Y-002,A11Y,SHOULD,platform norm,BLOCKED_ENVIRONMENT,,,,MANUAL_ACCEPTANCE_TEST_PLAN.md keyboard-navigation step (unexecuted),n/a,BLOCKED_ENVIRONMENT — no display,n/a,n/a,Requires live interactive testing.,unknown,medium,execute MANUAL_ACCEPTANCE_TEST_PLAN.md keyboard pass on a real machine,n/a
A11Y-003,A11Y,MUST,VISUAL_DIRECTION.md; DESIGN_TOKENS.md,NON_COMPLIANT,Sources/DesignSystem,MCColor,,none,"grep -rn ""ncreaseContrast\|educeTransparency"" Sources/",n/a,n/a,n/a,No explicit code-level handling of Increase Contrast / Reduce Transparency found; relies on system materials by default (unverified assumption).,potentially real for users with these settings enabled,medium,add explicit @Environment(\.accessibilityReduceTransparency)/increaseContrast handling or verify system materials suffice,n/a
A11Y-004,A11Y,SHOULD,derived — chart/treemap accessibility norm,UNKNOWN,Sources/MacCareApp/SpaceLensView.swift; PerformanceView.swift,,,none,n/a,n/a,n/a,n/a,Not checked this session — genuinely not read.,unknown,unknown,read both files for text-alternative/accessibilityLabel presence on chart marks,n/a
I18N-001,I18N,MUST,implicit — bilingual product,COMPLIANT_VERIFIED,Sources/MacCareApp/Resources/Base.lproj/Localizable.strings; Sources/MacCareApp/Resources/fr.lproj/Localizable.strings,L10n,,"fresh key-set diff this session: 0 EN-only, 0 FR-only (372/372 lines each)",comm -23/-13 on sorted key extracts from both Localizable.strings files,n/a,n/a,n/a,none found — real improvement over session 1's line-count-only check,none,low,none,n/a
I18N-002,I18N,SHOULD,implicit,COMPLIANT_PARTIAL,Sources/MacCareApp/OnboardingView.swift,,OnboardingView,none,"grep -rn Text\("" Sources/MacCareApp/*.swift | grep -v L\(",n/a,n/a,n/a,"OnboardingView.swift:57 has a bare Text(""MacCare Local"") literal — the app/brand name, arguably intentionally not localized (proper noun), but not routed through L(...) like everything else.",none (brand name is language-invariant),low,none needed if intentional; otherwise route through L(...) for consistency,n/a
I18N-003,I18N,SHOULD,implicit,UNKNOWN,Sources/MacCareApp/L10n.swift,,,none,n/a,n/a,n/a,n/a,Not checked this session.,unknown,unknown,read L10n.swift formatting helpers + spot-check size/date/plural call sites,n/a
PERF-001,PERF,SHOULD,MOTION_SYSTEM.md perf budget,IMPLEMENTED_UNVERIFIED,Sources/DesignSystem,,,none,n/a,BLOCKED_ENVIRONMENT — no Instruments/live profiling run,n/a,n/a,"Budget documented (30fps cap, 2s metric sampling); not independently profiled. Must not be read as universal Apple-Silicon claim — single machine tested (see MAC-003).",unknown,low,live profiling session on 8GB Apple Silicon Mac,n/a
PERF-002,PERF,MUST,architecture pattern,IMPLEMENTED_UNVERIFIED,Sources/SystemMetrics/SystemMetrics.swift; Sources/ScanCore/ScanCore.swift,AsyncStream,,none dedicated to actor-isolation/threading,n/a,n/a,n/a,n/a,Not independently re-traced for MainActor-blocking risk this session.,unknown,low-medium,full threading read of SystemMetrics.swift call sites,n/a
PERF-003,PERF,SHOULD,implicit,UNKNOWN,,,SimilarImagesView; MyClutterView,none,n/a,n/a,n/a,n/a,Thumbnail generation code path not read this session.,unknown,unknown,read thumbnail generation code,n/a
PERF-004,PERF,MUST,MOTION_SYSTEM.md,IMPLEMENTED_UNVERIFIED,Sources/MacCareApp,onDisappear,,none,grep -rn onDisappear Sources/MacCareApp,n/a,n/a,n/a,Multiple onDisappear call sites found consistent with the claim; not individually traced to every TimelineView.,unknown,low,trace each TimelineView's lifecycle binding,n/a
WEB-001,WEB,MUST,WEBSITE_AUDIT.md,COMPLIANT_VERIFIED,Website/en; Website/fr,,,none,n/a (cross-checked against WEBSITE_AUDIT.md session-3 findings),n/a,n/a,n/a,"Cross-checked against prior session's audit, not independently re-read line-by-line this session.",none,low,none,n/a
WEB-002,WEB,MUST,WEBSITE_AUDIT.md,COMPLIANT_VERIFIED,Website/en; Website/fr; Website/assets,,,none,grep -irl 'google-analytics|gtag|analytics|hotjar|mixpanel|segment.io|plausible|fathom' Website/en Website/fr Website/assets,n/a,n/a,n/a,"Cross-checked, cheap enough to re-run fresh in session 4.",none,low,none,n/a
WEB-003,WEB,MUST,WEBSITE_AUDIT.md,COMPLIANT_PARTIAL,Website/en; Website/fr,,,none,n/a,n/a,n/a,n/a,WEBSITE_AUDIT.md flags some placeholder legal/contact identity content — not fake downloads/reviews specifically.,low,low,see WEBSITE_AUDIT.md 'Real vs. placeholder content' for specifics,n/a
