id,module,status,feature,evidence
cleanup.userlogs,FileRules,VERIFIED_COMPLETE,"Cleanup rule: user logs — log files in ~/Library/Logs older than 7 days (low risk, preselected)","Sources/FileRules/UserCleanupRules.swift:19-29"
cleanup.crashreports,FileRules,VERIFIED_COMPLETE,"Cleanup rule: crash reports — diagnostic reports older than 30 days in ~/Library/Logs/DiagnosticReports (low risk, preselected)","Sources/FileRules/UserCleanupRules.swift:31-41"
cleanup.xcodederiveddata,FileRules,VERIFIED_COMPLETE,"Cleanup rule: Xcode DerivedData — build intermediates, rebuilt on next build (low risk, preselected)","Sources/FileRules/UserCleanupRules.swift:43-53"
cleanup.incompletedownloads,FileRules,VERIFIED_COMPLETE,"Cleanup rule: incomplete downloads — .download/.crdownload/.part/.partial files in ~/Downloads older than 7 days (low risk, preselected)","Sources/FileRules/UserCleanupRules.swift:55-68"
cleanup.xcodedevicesupport,FileRules,VERIFIED_COMPLETE,"Cleanup rule: Xcode device support — debug symbols for old iOS devices, regenerated on reconnect (medium risk, not preselected)","Sources/FileRules/UserCleanupRules.swift:70-80"
cleanup.iosbackups,FileRules,VERIFIED_COMPLETE,"Cleanup rule: iOS device backups — local iPhone/iPad backups older than 180 days (high risk, not preselected — user must verify no longer needed)","Sources/FileRules/UserCleanupRules.swift:82-92"
smartcare.orchestration,SmartCare,VERIFIED_COMPLETE,"Runs `UserCleanupRules.all` through `ScanEngine`, same `SafetyCenter`/dry-run gate as manual Cleanup","Sources/CoreTendApp/SmartCareView.swift:71-113"
integrity.provenance,IntegrityCore,VERIFIED_COMPLETE,"`ProvenanceScanner` — reads NSURLQuarantinePropertiesKey (the same metadata Finder/Safari use), never throws, handles malformed/raw quarantine xattr data as not-quarantined rather than crashing","Sources/IntegrityCore/IntegrityCore.swift:43-86; Tests/IntegrityCoreTests/IntegrityCoreTests.swift (ProvenanceScannerTests)"
integrity.codesign,IntegrityCore,VERIFIED_COMPLETE,"`CodeSignInspector` — Apple-signed/team-signed/ad-hoc-or-unsigned via SecStaticCode APIs directly, no codesign/spctl subprocess. Ad-hoc detection bug (wrong flag bit, would have misclassified ad-hoc as team-signed) found and fixed while adding this phase's test matrix.","Sources/IntegrityCore/IntegrityCore.swift:117-157; Tests/IntegrityCoreTests/IntegrityCoreTests.swift (CodeSignInspectorTests)"
integrity.loginitems,IntegrityCore,VERIFIED_COMPLETE,"`LoginItemScanner` — LaunchAgents/LaunchDaemons from the standard locations, injectable `locations:` parameter added this phase so tests use isolated temp directories instead of the real ~/Library/LaunchAgents","Sources/IntegrityCore/IntegrityCore.swift:182-207; Tests/IntegrityCoreTests/IntegrityCoreTests.swift (LoginItemScannerTests)"
perf.metrics,SystemMetrics,VERIFIED_COMPLETE,"`MetricsCollector` — CPU via `host_statistics` tick deltas, memory via `host_statistics64` (active+wired+compressed, matches Activity Monitor's model), disk via volume resource keys, network throughput via `getifaddrs` cumulative-counter delta, thermal via `ProcessInfo.thermalState`. All real Mach/sysctl/BSD calls, nothing simulated.","Sources/SystemMetrics/SystemMetrics.swift:1-142"
apps.discovery,AppDiscovery,VERIFIED_COMPLETE,"`discoverApps()` enumerates `/Applications` + `~/Applications` (one nesting level for suites), reads `Info.plist`, real Spotlight `kMDItemLastUsedDate` (honestly `nil` if unindexed, never guessed), real `com.apple.quarantine` xattr check, Mach-O magic-number architecture detection (arm64/x86_64/universal/unknown)","Sources/AppDiscovery/AppDiscovery.swift:63-217"
apps.leftovers,AppDiscovery,VERIFIED_COMPLETE,"`leftovers()` — reverse-DNS bundle-ID pattern match (`looksLikeBundleID`, ≥3 dot-separated parts) in Application Support/Caches/Saved Application State, excludes `com.apple.*`/`group.com.apple.*`, cross-references installed bundle IDs","Sources/AppDiscovery/AppDiscovery.swift:150-183"
apps.updates,AppDiscovery,VERIFIED_PARTIAL,"`AppUpdatesView` calls `AppDiscovery().discoverApps()` and opens `macappstore://showUpdatesPage` via NSWorkspace — **this only opens the macOS App Store's Updates pane, it does not itself check for or list available updates from any source**","Sources/CoreTendApp/AppUpdatesView.swift:26,38-40 (deep-links to App Store, does not itself check updates)"
clutter.largeold,MyClutter,IMPLEMENTED_UNVERIFIED,"`MyClutterView` instantiates a plain `ScanEngine()` (default config, all rules) for its Large & Old view","Sources/CoreTendApp/MyClutterView.swift:66"
clutter.duplicates,MyClutter,IMPLEMENTED_UNVERIFIED,"`DuplicatesView` wires `DuplicateEngine` + `SafetyCenter`/dry-run for deletion","Sources/CoreTendApp/DuplicatesView.swift:40,82"
clutter.similarimages,MyClutter,IMPLEMENTED_UNVERIFIED,"`SimilarImagesView` wires `SimilarImagesEngine`","Sources/CoreTendApp/SimilarImagesView.swift:21"
spacelens.view,SpaceLens,IMPLEMENTED_UNVERIFIED,"`SpaceLensView` wires `SpaceLensEngine(root:)`, presumably renders via `TreemapLayout`","Sources/CoreTendApp/SpaceLensView.swift:23"
cloud.detect,CloudCleanup,VERIFIED_PARTIAL,"`CloudCleanupViewModel.detect()`/`scan()` — bespoke scanner (not one of the shared 4 engines), enumerates iCloud Drive (`~/Library/Mobile Documents/com~apple~CloudDocs`) and other declared providers, classifies sync state from the real `ubiquitousItemDownloadingStatusKey` signal (placeholder/partial/local), never triggers a download itself","Sources/CoreTendApp/CloudCleanupView.swift:10-137"
activity.log,Persistence,VERIFIED_COMPLETE,"`Store.recordActivity`/`activity(limit:kind:)`/`clearActivity()` — SQLite (`sqlite3` C API), WAL mode, actor-isolated, append-only migration list, migrations verified idempotent","Sources/Persistence/Store.swift:1-165"
activity.grouping,Persistence,VERIFIED_COMPLETE,"Day-grouping / date-filter (`last7`/`last30`/`all`) logic in `MyActivityView`","Sources/CoreTendApp/MyActivityView.swift:36-39"
settings.menubar,Settings,VERIFIED_COMPLETE,"Settings: 'Show CoreTend in the menu bar' toggle, backed by @AppStorage('menuBarEnabled')","Sources/CoreTendApp/SettingsView.swift:82,93"
settings.dryrundefault,Settings,VERIFIED_COMPLETE,"Settings: 'Dry run by default' toggle, persisted to Store via setSetting('dryRunDefault')","Sources/CoreTendApp/SettingsView.swift:102-103"
settings.appsignature,Settings,VERIFIED_COMPLETE,"Settings: this copy's own code-signature status via CodeSignInspector (read-only) — shows whether the running binary itself is signed","Sources/CoreTendApp/SettingsView.swift:16, 114-118"
settings.fulldiskaccess,Settings,VERIFIED_COMPLETE,"Settings: Full Disk Access status with 'Open System Settings' / 'Recheck' actions","Sources/CoreTendApp/SettingsView.swift:127-134"
settings.exclusions,Settings,VERIFIED_COMPLETE,"Settings: exclusions list — add folder (NSOpenPanel) / remove, persisted to Store","Sources/CoreTendApp/SettingsView.swift:152-174"
settings.clearactivity,Settings,VERIFIED_COMPLETE,"Settings: 'Clear Activity History' destructive action with confirmation dialog","Sources/CoreTendApp/SettingsView.swift:181-184"
settings.exportdiagnostic,Settings,VERIFIED_COMPLETE,"Settings: 'Export Diagnostic Report' — opens DiagnosticReportView sheet (preview before save)","Sources/CoreTendApp/SettingsView.swift:188"
migration.legacydata,Data migration,VERIFIED_COMPLETE,"`LegacyDataMigration` — one-time copy of pre-rebrand (MacCare Local) user data to the CoreTend identity. Copy-never-move (legacy directory never modified, renamed, or deleted), per-item and idempotent (existing destination items are skipped, never overwritten), temp-then-rename so an interrupted run resumes instead of leaving a truncated file that looks complete, hardcoded legacy directory names (`MacCareLocal`, `MacCare Local`) rather than heuristic matching, allowlisted preference keys only (`menuBarEnabled`, `onboardingDone`, `onboardingStep`) read from the old domain via `CFPreferencesCopyAppValue`, per-run JSON journal at `migration-log.json`, and `rollback(_:)` that removes only what that one run created","Sources/Persistence/LegacyDataMigration.swift:50-317; Tests/PersistenceTests/LegacyDataMigrationTests.swift (20 tests, suite 'Legacy data migration')"
migration.launchwiring,Data migration,VERIFIED_COMPLETE,"Migration runs unconditionally in `AppEnvironment.init` before the store is opened — no 'have we done this yet' flag that could drift from the filesystem; the report is retained only when it did something or failed","Sources/CoreTendApp/AppEnvironment.swift:14-31"
settings.migrationnotice,Settings,VERIFIED_COMPLETE,"Settings: `MigrationNoticeRow` — shown only when the rename migration did something; states what moved, distinguishes failure from success, and explicitly says the old data is still on disk","Sources/CoreTendApp/SettingsView.swift:185-186, 229-265"
uninstall.legacydata,Uninstall,VERIFIED_COMPLETE,"Uninstaller `--include-legacy` opt-in additionally targets pre-rename data (`MacCareLocal`, `MacCare Local`, `local.maccare.app.plist`). Off by default — because the migration copies rather than moves, legacy data is a real backup and is not removed unless asked. Legacy paths are ordered last so an interrupted run never leaves the current install half-removed while the backup is already gone","Scripts/uninstall.sh:29-30, 68-71, 107-109, 151-158; Scripts/test-uninstall.sh"
testing.storeisolation,Testing infrastructure,VERIFIED_COMPLETE,"`TestStoreOverride` — lets a distribution smoke test launch the real Release binary against a throwaway store instead of the user's data. Requires TWO agreeing environment variables (`CORETEND_TEST_MODE=1` and an absolute `CORETEND_TEST_STORE_DIR`), so one stray variable cannot relocate a real database; the path must standardize to a location under a real temporary root and is refused if empty, relative, a protected root, the home directory, the filesystem root, or a bare temp root. The marker also suppresses the legacy-data migration, so a smoke test can never read real pre-rename data. `Scripts/test-distribution.sh` fingerprints the real store before and after and fails on any change; `Scripts/check-test-isolation.sh` statically enforces the whole shape","Sources/Persistence/TestStoreOverride.swift; Sources/Persistence/Store.swift (defaultPath/userPath/userDirectory); Sources/CoreTendApp/AppEnvironment.swift (migration suppression); Tests/PersistenceTests/TestStoreOverrideTests.swift (22 tests); Scripts/check-test-isolation.sh + Scripts/test-check-test-isolation.sh (9 self-tests)"
spacelens.delete,Space Lens,VERIFIED_COMPLETE,"Trash action per row, routed through SafetyCenter/PathValidator scoped to the originally-scanned root so a delete can never reach outside the browsed tree. Dry-run defaults true and reads the same app-wide dryRunDefault setting every other destructive module respects. Re-scans (rather than hand-patching the tree) after a real delete, restoring navigation depth by path.","Sources/CoreTendApp/SpaceLensView.swift (SpaceLensViewModel.requestDelete/confirmDelete); Tests/CoreTendAppTests/SpaceLensNavigationTests.swift"
quicklook.extended,My Clutter / Space Lens,VERIFIED_COMPLETE,"Interactive Quick Look panel, previously only on the Large & Old Files tab, extended to Duplicates, Similar Images, and Space Lens (files only, not directories).","Sources/CoreTendApp/DuplicatesView.swift, SimilarImagesView.swift, SpaceLensView.swift (previewURL + .quickLookPreview)"
activity.jsonexport,My Activity,VERIFIED_COMPLETE,"JSON export alongside the existing CSV export, same date-range-filtered scope, pretty-printed with sorted keys.","Sources/CoreTendApp/MyActivityView.swift (exportJSON); Tests/CoreTendAppTests/MyActivityGroupingTests.swift"
l10n.languagepicker,Localization,VERIFIED_COMPLETE,"Runtime language override (System/English/Français), independent of the OS locale, applied immediately (via .id() on the window and menu-bar content keyed to the same @AppStorage value) and persisted. English resolves to the Base.lproj bundle (there is no en.lproj folder — this was caught by a test, not assumed).","Sources/CoreTendApp/L10n.swift (LocalizationManager); SettingsView.swift, OnboardingView.swift pickers; Tests/CoreTendAppTests/LocalizationManagerTests.swift"
ui.commandpalette,App shell,VERIFIED_COMPLETE,"Cmd+K command palette: fuzzy-filtered jump list over all 10 sidebar destinations plus 2 actions (check for updates, scan Home with Space Lens), dispatched through the existing NotificationCenter (.mcNavigate) routing rather than a second navigation system.","Sources/CoreTendApp/CoreTendApp.swift (CommandPaletteView, paletteMatches); Tests/CoreTendAppTests/CommandPaletteTests.swift"
